opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,regional_office (from sales_agent),manager (from sales_agent),sales_agent (from sales_agent),sales_price (from product),series (from product),product (from product),office_location (from account),employees (from account),revenue (from account),year_established (from account),sector (from account),account (from account),subsidiary_of (from account)
EV0V1ZZA,['recwFlfWSUEPKTffy'],['recVPUKUds9mycWKY'],['receLxXPu5uamHIh9'],Lost,2017-11-28,2017-12-02,0.0,['West'],['Celia Rouche'],['Vicki Laflamme'],[3393],['MG'],['MG Advanced'],['United States'],[1299],[792.46],[1982],['services'],['Hatfan'],
VGSH1TSW,['rec2AduQqyM1BRhvl'],['recnXVPEmO1PaodiB'],['rec1QOxrBr9c5Dqvc'],Engaging,2017-08-25,,,['East'],['Cara Losch'],['Violet Mclelland'],[55],['MG'],['MG Special'],['United States'],[883],[646.1],[1993],['finance'],['Vehement Capital Partners'],['Golddex']
DU0DYV80,['receLEVrq7iN29V0p'],['rec3uGAoAGOaHcdc0'],['reckfNoXMhv6bp84W'],Lost,2017-05-09,2017-06-30,0.0,['West'],['Celia Rouche'],['Markita Hansen'],[4821],['GTX'],['GTX Pro'],['United States'],[165],[52.5],[2008],['finance'],['Golddex'],
H5VBBEVI,['rec0c8JQLggtca7ZE'],['recWhmpXE1wpTmDRF'],,Engaging,2017-04-03,,,['East'],['Rocco Neubert'],['Cassey Cress'],[1096],['GTX'],['GTX Plus Basic'],,,,,,,
KV2OFRJT,['recUQ3Z5OesYpn4Zd'],['rec3uGAoAGOaHcdc0'],,Engaging,2016-12-13,,,['West'],['Summer Sewald'],['Kami Bicknell'],[4821],['GTX'],['GTX Pro'],,,,,,,
3ML02CAH,['recTIZcUJncqqMoJG'],['recnXVPEmO1PaodiB'],['recOL9gXg8OOUB7S3'],Won,2017-11-05,2017-11-11,61.0,['Central'],['Dustin Brinkmann'],['Versie Hillebrand'],[55],['MG'],['MG Special'],['United States'],[2448],[718.62],[2001],['retail'],['Cancity'],
IX7UEOAP,['recpog0L4wRoCIsGj'],['recWhmpXE1wpTmDRF'],['rec21CQwNNfgLDyk1'],Lost,2016-12-17,2017-03-27,0.0,['East'],['Rocco Neubert'],['Donn Cantrell'],[1096],['GTX'],['GTX Plus Basic'],['United States'],[20275],[6395.05],[1994],['telecommunications'],['Initech'],
L33YUX9V,['recuAACvREIzE2N3a'],['recWhmpXE1wpTmDRF'],['recnylmt5ypIFXMmH'],Won,2017-02-06,2017-05-15,1068.0,['Central'],['Dustin Brinkmann'],['Moses Frase'],[1096],['GTX'],['GTX Plus Basic'],['Panama'],[8775],[2938.67],[1987],['technolgy'],['Rangreen'],
8638OV6W,['recfJiHzihquHi9GY'],['recnXVPEmO1PaodiB'],['recMhoZuXmRaShGdL'],Lost,2017-02-18,2017-05-26,0.0,['East'],['Cara Losch'],['Corliss Cosme'],[55],['MG'],['MG Special'],['United States'],[144],[71.12],[2010],['retail'],['Zathunicon'],
4F222JU9,['recDTnBU8fckOMNZg'],['recnXVPEmO1PaodiB'],['reczdzOMvmnBNI4Ww'],Lost,2017-06-29,2017-08-31,0.0,['Central'],['Dustin Brinkmann'],['Lajuana Vencill'],[55],['MG'],['MG Special'],['United States'],[100],[45.39],[2012],['marketing'],['Scottech'],['Inity']
